adventure,episode,verified,user,character,skill,difficulty,dice,dice_results,roll_results,check_type,fp_spent,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Computers,Average,yggggpp,sucsuc;sucadv;suc;nil;nil;faifai;thrthr,sucsucthr,Crew Member,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Computers,Average,yggggbppk,tri;suc;suc;suc;sucsuc;suc;thr;thr;nil,sucsucsucsucsucsucsucthrthrtri,Crew Member,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Cool,Average,ggggbpp,sucadv;suc;suc;suc;advadv;thrfai;nil,sucsucsucadvadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Cool,Average,yggbpp,suc;suc;suc;suc;thr;faifai,sucsucthr,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Discipline,Average,ygbbbpp,advadv;suc;advadv;sucadv;adv;faifai;thr,advadvadvadvadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,IT-3PO,Discipline,Average,gbbpp,advadv;advadv;adv;thrthr;fai,faiadvadvadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Athletics,Average,ggggbbbpp,sucadv;nil;sucsuc;adv;sucadv;advadv;nil;fai;faifai,sucadvadvadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Athletics,Average,ggbbbbbppk,sucsuc;advadv;nil;adv;sucadv;adv;adv;nil;nil;fai,sucsucadvadvadvadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Athletics,Hard,ggggbppp,advadv;suc;advadv;sucadv;advadv;faifai;thr;thrfai,faiadvadvadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Coordination,Average,gggpp,adv;advadv;advadv;faifai;thr,faifaiadvadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Athletics,Hard,ggggbbpppk,nil;nil;advadv;adv;nil;nil;faifai;thr;thr;thr,faifai,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Athletics,Daunting,ggbbbppppk,nil;adv;adv;suc;suc;faifai;fai;thr;faifai;thr,faifaifai,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Coordination,Average,ggggpp,sucadv;advadv;sucadv;nil;thr;thr,sucsucadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Coordination,Average,ggggbppk,nil;advadv;adv;sucsuc;suc;thr;thr;nil,sucsucsucadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Athletics,Hard,ggggbbbbppp,sucsuc;suc;nil;sucadv;adv;sucadv;advadv;advadv;thr;thr;thr,sucsucsucsucsucadvadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Athletics,Easy,ygggbbp,advadv;sucsuc;nil;sucadv;nil;suc;faifai,sucsucadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Athletics,Hard,ygggbbppp,advadv;adv;suc;suc;nil;sucadv;thr;thr;thr,sucsucsucadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Ranged (Light),Easy,gggp,adv;suc;suc;nil,sucsucadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Athletics,Average,ggggbpp,suc;sucadv;adv;advadv;nil;thrfai;faifai,faiadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Easy,yyp,sucsuc;nil;thr,sucsucthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Coordination,Average,ggggpp,sucsuc;advadv;sucsuc;adv;thr;thr,sucsucsucsucadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Athletics,Average,ygggbbrpp,advadv;suc;advadv;advadv;sucadv;advadv;thr;thrthr;thr,sucsucadvadvadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Athletics,Hard,ygpppk,adv;sucsuc;thr;nil;nil;nil,sucsuc,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Athletics,Hard,ggggppp,advadv;nil;adv;adv;thr;thr;thr,adv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Coordination,Average,yggbpp,sucsuc;sucsuc;adv;nil;faifai;thr,sucsuc,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Athletics,Average,ggggpp,nil;suc;suc;adv;thr;thr,sucsucthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Perception,Opposed,yrrp,sucadv;fai;thrthr;thr,thrthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Opposed,ygrrp,sucadv;sucsuc;fai;thr;thr,sucsucthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Vigilance,Simple,yg,suc;nil,suc,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Vigilance,Simple,g,adv,adv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Arboreal Octopus,Vigilance,Simple,ygg,suc;nil;suc,sucsuc,Initiative ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Arboreal Octopus,Vigilance,Simple,ygg,sucadv;suc;adv,sucsucadvadv,Initiative ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Vigilance,Simple,yg*,sucadv;sucadv;suc,sucsucsucadvadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Average,yyggppk,adv;advadv;adv;sucsuc;thrthr;nil;fai,sucadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Arboreal Octopus,Brawl,Average,yygppk,adv;suc;adv;thrthr;nil;fai,nil,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyggbppk,adv;suc;adv;adv;suc;nil;thr;fai,sucadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Arboreal Octopus,Brawl,Average,yygppk,suc;suc;sucadv;thr;nil;nil,sucsucsuc,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyggbppk,sucadv;sucadv;sucadv;sucadv;adv;thr;nil;thr,sucsucsucsucadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Hard,yyggbbppp,adv;sucadv;nil;sucsuc;nil;adv;faifai;thrthr;faifai,faiadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Arboreal Octopus,Brawl,Average,yygbppk,sucadv;sucadv;sucadv;sucadv;thrfai;thr;fai,sucsucadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyggbbppk,advadv;suc;sucsuc;suc;adv;advadv;faifai;fai;thr,sucadvadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Coordination,Hard,ygggppp,advadv;suc;nil;suc;faifai;thr;thrfai,fai,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Melee,Average,gbppk,nil;nil;thr;thr;nil,thrthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Coordination,Hard,ggggppp,sucadv;suc;nil;sucadv;thr;thrthr;thr,sucsucsucthrthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Ranged (Light),Easy,gggbbpkk,suc;adv;nil;nil;nil;faifai;fai;thr,faifai,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Ranged (Light),Easy,gggpk,sucsuc;suc;suc;thr;thr,sucsucsucsucthrthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Bark Rats,Brawl,Average,yyppkk,advadv;tri;fai;thr;fai;nil,faiadvtri,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Average,ggggbppk,suc;adv;adv;adv;adv;thr;thrfai;fai,faiadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Bark Rats,Brawl,Average,yyyppk,sucadv;suc;suc;thrthr;thr;nil,sucsucsucthrthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyggbrpk,tri;suc;suc;adv;suc;fai;thrthr;thr,sucsucsucthrthrtri,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Ranged (Light),Easy,gggbpk,sucadv;sucadv;adv;sucadv;thr;fai,sucsucadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Bark Rats,Brawl,Average,yyppkk,tri;tri;thr;thrthr;nil;thr,sucsucthrthrthrthrtritri,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Average,ggggppk,nil;suc;advadv;suc;thr;nil;thr,sucsuc,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Hard,yyggbpppk,tri;suc;sucsuc;nil;advadv;thrfai;fai;thrthr;nil,sucsucthrtri,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Cool,Simple,gggg,adv;sucadv;sucadv;suc,sucsucsucadvadvadv,Recovery,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Cool,Simple,ygg,adv;sucsuc;advadv,sucsucadvadvadv,Strain Recovery,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Discipline,Simple,yb,advadv;suc,sucadvadv,Strain Recovery,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Torque,Medicine,Average,gggggpp,advadv;adv;sucadv;advadv;adv;nil;fai,advadvadvadvadvadvadv,Medicine,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Medicine,Daunting,ggpppp,adv;sucadv;thrthr;thr;thr;faifai,faithrthr,Medicine,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Medicine,Average,gggggpp,nil;suc;nil;adv;sucadv;nil;thrthr,sucsuc,Medicine,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Medicine,Average,gggggpp,adv;adv;suc;suc;suc;fai;fai,sucadvadv,Medicine,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Perception,Hard,gppp,sucadv;faifai;nil;thrfai,faifai,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Computers,Average,yggggbpp,advadv;suc;sucsuc;suc;advadv;adv;faifai;thr,sucsucadvadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Perception,Hard,yppp,advadv;thrthr;thr;thr,thrthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Hard,ygppp,sucsuc;advadv;fai;thrthr;thrfai,thr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,IT-3PO,Perception,Hard,ygppp,adv;suc;nil;fai;thr,nil,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Computers,Easy,yggggp,suc;adv;nil;suc;advadv;thr,sucsucadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Vigilance,Simple,yg,suc;adv,sucadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Yav Yiyar,Vigilance,Simple,yy,suc;adv,sucadv,Initiative ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Vigilance,Simple,g,adv,adv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Too-Low Talo,Vigilance,Simple,yy,adv;nil,adv,Initiative ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Yiyar Clan Member,Vigilance,Simple,g,adv,adv,Initiative ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Vigilance,Simple,yg,nil;suc,suc,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,IT-3PO,Vigilance,Simple,g,nil,nil,Initiative ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Average,yyggrr,tri;adv;sucsuc;sucadv;thrthr;thrthr,sucsucsucsucthrthrtri,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Yiyar Clan Member,Ranged (Light),Easy,yggpk,sucadv;adv;advadv;nil;nil,sucadvadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyggrr,sucadv;advadv;adv;suc;thrthr;thrthr,sucsuc,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Ranged (Light),Easy,gggp,nil;advadv;advadv;nil,advadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Too-Low Talo,Ranged (Light),Easy,yygbrk,sucadv;sucadv;sucadv;nil;faifai;fai,advadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Average,yyggbbbrpv,suc;suc;sucsuc;advadv;advadv;adv;suc;faifai;thrfai;adv,sucsucadvadvadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Too-Low Talo,Ranged (Light),Easy,yggpk,suc;nil;suc;fai;fai,nil,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyggrpk,advadv;suc;sucsuc;sucsuc;thrfai;faifai;fai,sucadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Ranged (Light),Easy,gggp,suc;suc;suc;thrfai,sucsucthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Discipline,Hard,ybppp,nil;suc;faifai;nil;thr,faithr,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Discipline,Hard,ygppp,suc;advadv;thrfai;thr;thr,thr,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Discipline,Hard,ybppp,suc;nil;thr;thrthr;thrthr,sucthrthrthrthrthr,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Average,yyggppkkv,suc;sucsuc;suc;adv;thr;thr;fai;fai;adv,sucsuc,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Cybernetically Enhanced Nexu,Brawl,Average,gggppkk,sucsuc;suc;nil;thrfai;nil;fai;nil,sucthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyygrpk,adv;suc;advadv;suc;faifai;nil;thr,advadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Ranged (Light),Easy,gggbr,sucadv;suc;sucsuc;nil;thrthr,sucsucsucsucthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyggbppk,sucadv;sucsuc;sucadv;suc;advadv;thr;faifai;nil,sucsucsucadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Cool,Simple,gggg,suc;suc;nil;sucsuc,sucsucsucsuc,Recovery,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Cool,Simple,ygg,sucadv;suc;sucadv,sucsucsucadvadv,Strain Recovery,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Discipline,Simple,yb,sucsuc;nil,sucsuc,Strain Recovery,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Hard,ygbppp,sucadv;sucsuc;adv;thr;thrthr;thrfai,sucsucthrthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Survival,Average,ggpp,suc;suc;fai;thr,sucthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Survival,Average,gpp,sucadv;thr;faifai,fai,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Discipline,Average,ygrr,adv;sucadv;faifai;faifai,faifaifaiadvadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Discipline,Average,ygbrr,sucsuc;suc;advadv;thrthr;des,sucsucdes,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Discipline,Average,ybrr,nil;sucadv;des;thrfai,faides,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Easy,ygbbp,suc;adv;adv;adv;thr,sucadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Average,ygbbpp,advadv;nil;nil;sucadv;thr;thr,sucadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Hard,ygbbppp,tri;sucadv;nil;sucadv;thrfai;thr;thr,sucsucthrtri,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Medicine,Hard,gggggppp,suc;advadv;suc;suc;sucsuc;faifai;nil;thr,sucsucsucadv,Medicine,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Discipline,Easy,gbr,adv;adv;thrthr,nil,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Discipline,Easy,ggr,adv;sucadv;faifai,faiadvadv,Skill,,,
